遊び内容	対象年齢最低	対象年齢最高	0～3歳優先順位	4～10歳優先順位	11歳～優先順位	場所	料金	単位	予約	備考
魚釣り体験	5					中村養魚場	2500	１竿	要	冬季休業
魚釣り体験	5					天池の宿	2000	１竿	要	冬季休業
滝を見る	0		3	4	4	龍双ケ滝	0		不要	冬季道路閉鎖
木工カスタネット作り	3		5			WoodLabo-Ikeda	500	１個	要	
木工ぶんぶんこま作り	3					WoodLabo-Ikeda	300	１個	要	
木工ヨーヨー作り	3					WoodLabo-Ikeda	500	１個	要	
木工オリジナルキーホルダー作り	2		2			WoodLabo-Ikeda	500	１個	要	
木工スマートボール作り	6					WoodLabo-Ikeda	1000	１台	要	
木工カッティングボード作り	11				2	WoodLabo-Ikeda	1500	１枚	要	
木のおもちゃで遊ぶ	0	0	1			おもちゃハウス　こどもと木	0	１人	不要	
木のおもちゃで遊ぶ	1	12	1	1		おもちゃハウス　こどもと木	200	１人	不要	
木のおもちゃで遊ぶ	13			1		おもちゃハウス　こどもと木	100	１人	不要	
大仏をみる	0					寺谷大仏	0		要	
江戸時代の古民家をみる	0					堀口家住宅	0		不要	冬季閉鎖
屋外大型遊具で遊ぶ	0		4	2		杉の子パーク	0		不要	冬季閉鎖
遊歩道を歩く	0					森と川の遊歩道	0		不要	冬季閉鎖
そば打ち体験	5					ふるさとふれあい道場	2600	１台（６食）	要	
もちつき体験	5					ふるさとふれあい道場	2500	１臼（３０個）	要	
かずら橋を渡る	3	6		3		かずら橋	0	１人	不要	冬季閉鎖
かずら橋を渡る	7	15		3	1	かずら橋	200	１人	不要	冬季閉鎖
かずら橋を渡る	16					かずら橋	300	１人	不要	冬季閉鎖
こんにゃく作り体験	5	15				魚見手作りこんにゃく道場	1000	１人	要	冬季閉鎖
こんにゃく作り体験	16					魚見手作りこんにゃく道場	1500	１人	要	冬季閉鎖
ピザ作り体験	5			5	3	ファームハウス・コムニタ	2800	１組（４人まで）	要	
スキーをする	5					新保ファミリースキー場	2500	リフト1日券	不要	冬季のみ営業
そりをする	3					新保ファミリースキー場	0		不要	冬季のみ営業
雪遊びをする	0	0				新保ファミリースキー場	0		不要	冬季のみ営業
絵本を読む	0					池田町立図書館	0		不要	
ツリーピクニックアドベンチャーいけだ　メガジップライン	11					ツリーピクニックアドベンチャーいけだ	3700	1人	要	冬季休業
ツリーピクニックアドベンチャーいけだ　アドベンチャーパークディスカバリーコース	11					ツリーピクニックアドベンチャーいけだ	3700	1人	要	冬季休業
ツリーピクニックアドベンチャーいけだ　アドベンチャーパークキッズコース	6	11				ツリーピクニックアドベンチャーいけだ	1100	1人	要	冬季休業
ツリーピクニックアドベンチャーいけだ　アドベンチャーパークピクニックコース	11					ツリーピクニックアドベンチャーいけだ	3200	1人	要	冬季休業
ツリーピクニックアドベンチャーいけだ　アドベンチャーパークツリークライムコース	11					ツリーピクニックアドベンチャーいけだ	2800	1人	要	冬季休業
ツリーピクニックアドベンチャーいけだ　アドベンチャーボート４人乗り	4					ツリーピクニックアドベンチャーいけだ	10000	1艇	要	5月～9月
大きな杉を見る	5				5	稲荷の大杉	0		不要	冬季閉鎖
能面を見る	0	12				能面美術館	200	1人	不要	
能面を見る	13					能面美術館	300	1人	不要	
山登りをする（冠山）	10					冠山	0		不要	11月中旬～5月道路閉鎖
いのししを食べる（串焼き）	5					こってコテいけだ			不要	土日祝日のみ。
いのししカレーを食べる	10					喫茶　香			不要	
池田牛コロッケを食べる	3					こってコテいけだ			不要	土日祝日のみ。
天然アユを食べる	10					喫茶　香			不要	
本当のきびだんごを食べる	3		6	6	6	ぬくもり茶屋			不要	日曜日のみ。冬季休業。
池田牛バーガーを食べる	3					ツリーピクニックアドベンチャーいけだ			不要	
越前そばを食べる	5					そば処一福			不要	
越前そばを食べる	3					水車			不要	
越前そばを食べる	3					ふるさとふれあい道場			不要	